node BASE home 0 100 0

node SPAWNER spwn_3 -100 0 0
node SPAWNER spwn_2 -50 0 0
node SPAWNER spwn_1 0 0 0
node SPAWNER spwn_4 50 0 0
node SPAWNER spwn_5 100 0 0

node WAYPOINT 01 -650 100 0
node WAYPOINT 02 -500 100 0
node WAYPOINT 03 -400 100 0
node WAYPOINT 04 -250 0 0
node WAYPOINT 05 250 0 0
node WAYPOINT 06 400 100 0
node WAYPOINT 07 550 100 0
node WAYPOINT 08 700 100 0
node WAYPOINT 09 800 0 0

node WAYPOINT 10 400 0 0
node WAYPOINT 11 -250 150 0
node WAYPOINT 12 -400 250 0
node WAYPOINT 13 -550 250 0
node WAYPOINT 14 -700 300 0
node WAYPOINT 15 650 200 0
node WAYPOINT 16 750 200 0
node WAYPOINT 17 800 300 0

node WAYPOINT 18 500 -100 0
node WAYPOINT 19 650 -100 0
node WAYPOINT 20 800 -150 0
node WAYPOINT 21 600 -300 0
node WAYPOINT 22 500 -300 0
node WAYPOINT 23 500 -200 0
node WAYPOINT 24 400 -200 0
node WAYPOINT 25 -350 -100 0
node WAYPOINT 26 -500 -100 0
node WAYPOINT 27 -600 -200 0
node WAYPOINT 28 -700 -200 0
node WAYPOINT 29 -350 -200 0
node WAYPOINT 30 -150 -100 0
node WAYPOINT 31 0 -100 0
node WAYPOINT 32 0 -200 0
node WAYPOINT 33 -250 -200 0
node WAYPOINT 34 250 -200 0
node WAYPOINT 35 350 -100 0
node WAYPOINT 36 250 -100 0
node WAYPOINT 37 150 -50 0
node WAYPOINT 38 -150 -300 0
node WAYPOINT 39 -300 -300 0
node WAYPOINT 40 -450 -400 0
node WAYPOINT 41 -550 -400 0
node WAYPOINT 42 -650 -300 0
node WAYPOINT 43 -700 -400 0
node WAYPOINT 44 -350 -400 0
node WAYPOINT 45 -350 -500 0
node WAYPOINT 46 -500 -500 0
node WAYPOINT 47 -600 -600 0
node WAYPOINT 48 -700 -500 0
node WAYPOINT 49 -250 -500 0
node WAYPOINT 50 -100 -450 0
node WAYPOINT 51 0 -300 0
node WAYPOINT 52 -200 -400 0
node WAYPOINT 53 200 -300 0
node WAYPOINT 54 400 -300 0
node WAYPOINT 55 100 -400 0
node WAYPOINT 56 200 -500 0
node WAYPOINT 57 0 -500 0
node WAYPOINT 58 700 -400 0
node WAYPOINT 59 800 -400 0
node WAYPOINT 60 500 -400 0
node WAYPOINT 61 300 -550 0
node WAYPOINT 62 600 -550 0

conn home spwn_1
conn spwn_1 spwn_2
conn spwn_2 spwn_3
conn spwn_1 spwn_4
conn spwn_4 spwn_5

conn spwn_3 04
conn 04 03
conn 03 02
conn 01 02
conn 03 11
conn 11 12
conn 12 13
conn 13 14

conn spwn_5 05
conn 06 05
conn 06 07
conn 08 07
conn 08 09
conn 07 15
conn 16 15
conn 16 17
conn 10 05

conn 10 18
conn 18 19
conn 19 09
conn 19 20
conn 19 23
conn 23 24
conn 20 21
conn 21 22
conn 21 58
conn 22 54
conn 58 59
conn 58 60
conn 60 61
conn 61 62
conn 54 53
conn 54 34
conn 53 51
conn 51 38
conn 38 39
conn 39 40
conn 40 41
conn 41 42
conn 41 43
conn 40 44
conn 40 45
conn 45 49
conn 49 50
conn 45 46
conn 46 47
conn 46 48
conn 51 52
conn 53 55
conn 55 56
conn 56 57
conn 04 25
conn 25 26
conn 26 27
conn 27 28
conn 27 29
conn 25 30
conn 30 31
conn 30 32
conn 32 33
conn 33 38
conn 32 34
conn 34 35
conn 35 36
conn 36 37
